Row,wm1,wm2,wm3,wm4,wm5,wm6
intercept,-0.536584018189849,-50.0662439423969,-1.09067171361087,-34.1601633109519,-9.47629424418315,-22.763600775889
V1_MaxPulse_Voltage_V,0.337508260821507,37.1132023315699,24.7380032559315,12.1181380948026,13.0341929195687,13.3685430136489
Number_of_Pulses,16.8328277986597,78.0459068554129,-0.549739213137162,31.6344890472233,33.7558398230974,39.5764640767838
Applied_energy_J,-15.1406055729265,-124.267803410984,-17.6210450106094,65.0817611384337,-3.14222161163768,-29.8324838632115
Average_Power_P,8.26818661176399,-8.15827516640721,-30.414358079371,8.72181964389869,4.1513808127437,-37.7472183344738
Pth_Vth_times_Ith,-30.7730463894528,-68.8262131351506,29.1755738767123,27.9600525765606,99.6179672669871,-56.3101109757328
Ith_Trigger_Current,18.150457027331,4.20384216683499,-20.0256875412835,-15.436505371089,-31.0747926592333,-24.8914026798559
Vth_TriggerVoltage,98.8954280546609,74.2968301581702,-8.25323545784064,36.3825690477694,-18.7571910168341,90.1934443870333
N_scale,-8.1967468744883,-41.3367210785036,24.8937463038828,-137.584666357665,-102.049827388557,45.2105854819086
ton,-46.4796286059754,11.1617785922515,-14.2452243656734,12.8945300340048,-4.19512900016161,-60.2535888066727
toff,-6.5139384005759,-33.0492369778704,-18.8285074562283,3.81892184403221,12.1273670540009,-33.6277643008524
T_total_period,-27.4535867904883,4.5345255999963,49.3283181725757,-103.326899843118,-33.4436437254433,6.47182393891305
n_P_over_Pth,4.72170169123849,-7.63331060047531,-6.88679456785418,-49.8340467765532,-11.8636279379207,3.11664942961753
Rb_Resistance_Before,20.7460550382653,7.3574516639388,2.69916269566179,-4.33216567407619,2.36394601111052,10.6507207886027
